file_id,dataset_id,mip_era,activity_drs,institution_id,source_id,experiment_id,member_id,table_id,frequency,grid_label,version,nominal_resolution,variable_id,variable_long_name,variable_units,datetime_start,datetime_end,file_size,data_node,file_url,dataset_pid,tracking_id
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r2i1p1f1.Omon.chl.gn.v20190429.chl_Omon_CanESM5_ssp126_r2i1p1f1_gn_205101-206012.nc|crd-esgf-drc.ec.gc.ca,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r2i1p1f1.Omon.chl.gn.v20190429|crd-esgf-drc.ec.gc.ca,CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r2i1p1f1,Omon,mon,gn,20190429,100 km,chl,Mass Concentration of Total Phytoplankton expressed as Chlorophyll in Sea Water,kg m-3,2051-01-01T00:00:00Z,2060-12-01T00:00:00Z,992164973,crd-esgf-drc.ec.gc.ca,http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgD_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp126/r2i1p1f1/Omon/chl/gn/v20190429/chl_Omon_CanESM5_ssp126_r2i1p1f1_gn_205101-206012.nc,hdl:21.14100/ff1869a4-2e2e-3baa-930f-5199d5f92df6,hdl:21.14100/9b640549-d84e-4826-a4ef-9952c235489c
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r9i1p1f1.Omon.chl.gn.v20190429.chl_Omon_CanESM5_ssp126_r9i1p1f1_gn_204101-205012.nc|crd-esgf-drc.ec.gc.ca,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r9i1p1f1.Omon.chl.gn.v20190429|crd-esgf-drc.ec.gc.ca,CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r9i1p1f1,Omon,mon,gn,20190429,100 km,chl,Mass Concentration of Total Phytoplankton expressed as Chlorophyll in Sea Water,kg m-3,2041-01-01T00:00:00Z,2050-12-01T00:00:00Z,992828035,crd-esgf-drc.ec.gc.ca,http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgD_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp126/r9i1p1f1/Omon/chl/gn/v20190429/chl_Omon_CanESM5_ssp126_r9i1p1f1_gn_204101-205012.nc,hdl:21.14100/4c078fe3-61fd-3ea3-99ff-178f4a9d1e66,hdl:21.14100/74b1ebab-bda3-4c7a-a26b-c23f582e77ce
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r9i1p1f1.Omon.chl.gn.v20190429.chl_Omon_CanESM5_ssp126_r9i1p1f1_gn_205101-206012.nc|crd-esgf-drc.ec.gc.ca,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r9i1p1f1.Omon.chl.gn.v20190429|crd-esgf-drc.ec.gc.ca,CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r9i1p1f1,Omon,mon,gn,20190429,100 km,chl,Mass Concentration of Total Phytoplankton expressed as Chlorophyll in Sea Water,kg m-3,2051-01-01T00:00:00Z,2060-12-01T00:00:00Z,992105750,crd-esgf-drc.ec.gc.ca,http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgD_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp126/r9i1p1f1/Omon/chl/gn/v20190429/chl_Omon_CanESM5_ssp126_r9i1p1f1_gn_205101-206012.nc,hdl:21.14100/4c078fe3-61fd-3ea3-99ff-178f4a9d1e66,hdl:21.14100/628895e8-2bbb-479e-9da6-1f464fb2bdbc
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r6i1p1f1.Omon.chl.gn.v20190429.chl_Omon_CanESM5_ssp126_r6i1p1f1_gn_204101-205012.nc|crd-esgf-drc.ec.gc.ca,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r6i1p1f1.Omon.chl.gn.v20190429|crd-esgf-drc.ec.gc.ca,CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r6i1p1f1,Omon,mon,gn,20190429,100 km,chl,Mass Concentration of Total Phytoplankton expressed as Chlorophyll in Sea Water,kg m-3,2041-01-01T00:00:00Z,2050-12-01T00:00:00Z,992361516,crd-esgf-drc.ec.gc.ca,http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgD_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp126/r6i1p1f1/Omon/chl/gn/v20190429/chl_Omon_CanESM5_ssp126_r6i1p1f1_gn_204101-205012.nc,hdl:21.14100/346a0ca8-0295-3b95-9015-042b651b5bf1,hdl:21.14100/087bba3e-23b5-4748-a100-5ed7e6a33338
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r6i1p1f1.Omon.chl.gn.v20190429.chl_Omon_CanESM5_ssp126_r6i1p1f1_gn_205101-206012.nc|crd-esgf-drc.ec.gc.ca,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r6i1p1f1.Omon.chl.gn.v20190429|crd-esgf-drc.ec.gc.ca,CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r6i1p1f1,Omon,mon,gn,20190429,100 km,chl,Mass Concentration of Total Phytoplankton expressed as Chlorophyll in Sea Water,kg m-3,2051-01-01T00:00:00Z,2060-12-01T00:00:00Z,991832958,crd-esgf-drc.ec.gc.ca,http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgD_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp126/r6i1p1f1/Omon/chl/gn/v20190429/chl_Omon_CanESM5_ssp126_r6i1p1f1_gn_205101-206012.nc,hdl:21.14100/346a0ca8-0295-3b95-9015-042b651b5bf1,hdl:21.14100/1b8820ab-00e7-484c-8d3a-6445fc48247b
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp370.r2i1p1f1.Omon.chl.gn.v20190429.chl_Omon_CanESM5_ssp370_r2i1p1f1_gn_204101-205012.nc|crd-esgf-drc.ec.gc.ca,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp370.r2i1p1f1.Omon.chl.gn.v20190429|crd-esgf-drc.ec.gc.ca,CMIP6,ScenarioMIP,CCCma,CanESM5,ssp370,r2i1p1f1,Omon,mon,gn,20190429,100 km,chl,Mass Concentration of Total Phytoplankton expressed as Chlorophyll in Sea Water,kg m-3,2041-01-01T00:00:00Z,2050-12-01T00:00:00Z,992648332,crd-esgf-drc.ec.gc.ca,http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgD_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp370/r2i1p1f1/Omon/chl/gn/v20190429/chl_Omon_CanESM5_ssp370_r2i1p1f1_gn_204101-205012.nc,hdl:21.14100/8b0ab6b6-8b59-3bbb-b245-c36cb01c287c,hdl:21.14100/5979d35c-725f-4771-81d6-13e6b00e3275
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp370.r2i1p1f1.Omon.chl.gn.v20190429.chl_Omon_CanESM5_ssp370_r2i1p1f1_gn_205101-206012.nc|crd-esgf-drc.ec.gc.ca,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp370.r2i1p1f1.Omon.chl.gn.v20190429|crd-esgf-drc.ec.gc.ca,CMIP6,ScenarioMIP,CCCma,CanESM5,ssp370,r2i1p1f1,Omon,mon,gn,20190429,100 km,chl,Mass Concentration of Total Phytoplankton expressed as Chlorophyll in Sea Water,kg m-3,2051-01-01T00:00:00Z,2060-12-01T00:00:00Z,991729292,crd-esgf-drc.ec.gc.ca,http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgD_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp370/r2i1p1f1/Omon/chl/gn/v20190429/chl_Omon_CanESM5_ssp370_r2i1p1f1_gn_205101-206012.nc,hdl:21.14100/8b0ab6b6-8b59-3bbb-b245-c36cb01c287c,hdl:21.14100/7c5dd4dd-1364-42bf-83f0-2647837043c5
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp370.r1i1p1f1.Omon.chl.gn.v20190429.chl_Omon_CanESM5_ssp370_r1i1p1f1_gn_204101-205012.nc|crd-esgf-drc.ec.gc.ca,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp370.r1i1p1f1.Omon.chl.gn.v20190429|crd-esgf-drc.ec.gc.ca,CMIP6,ScenarioMIP,CCCma,CanESM5,ssp370,r1i1p1f1,Omon,mon,gn,20190429,100 km,chl,Mass Concentration of Total Phytoplankton expressed as Chlorophyll in Sea Water,kg m-3,2041-01-01T00:00:00Z,2050-12-01T00:00:00Z,992246502,crd-esgf-drc.ec.gc.ca,http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgD_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp370/r1i1p1f1/Omon/chl/gn/v20190429/chl_Omon_CanESM5_ssp370_r1i1p1f1_gn_204101-205012.nc,hdl:21.14100/92d641ab-674d-32f2-884e-e6e92765bf91,hdl:21.14100/b4be5550-16ae-46ee-9e34-9306b25fa2cf
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp370.r1i1p1f1.Omon.chl.gn.v20190429.chl_Omon_CanESM5_ssp370_r1i1p1f1_gn_205101-206012.nc|crd-esgf-drc.ec.gc.ca,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp370.r1i1p1f1.Omon.chl.gn.v20190429|crd-esgf-drc.ec.gc.ca,CMIP6,ScenarioMIP,CCCma,CanESM5,ssp370,r1i1p1f1,Omon,mon,gn,20190429,100 km,chl,Mass Concentration of Total Phytoplankton expressed as Chlorophyll in Sea Water,kg m-3,2051-01-01T00:00:00Z,2060-12-01T00:00:00Z,991509678,crd-esgf-drc.ec.gc.ca,http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgD_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp370/r1i1p1f1/Omon/chl/gn/v20190429/chl_Omon_CanESM5_ssp370_r1i1p1f1_gn_205101-206012.nc,hdl:21.14100/92d641ab-674d-32f2-884e-e6e92765bf91,hdl:21.14100/9bd453cb-09c6-44ba-ae9a-d8b45598f41a
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp370.r10i1p1f1.Omon.chl.gn.v20190429.chl_Omon_CanESM5_ssp370_r10i1p1f1_gn_204101-205012.nc|crd-esgf-drc.ec.gc.ca,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp370.r10i1p1f1.Omon.chl.gn.v20190429|crd-esgf-drc.ec.gc.ca,CMIP6,ScenarioMIP,CCCma,CanESM5,ssp370,r10i1p1f1,Omon,mon,gn,20190429,100 km,chl,Mass Concentration of Total Phytoplankton expressed as Chlorophyll in Sea Water,kg m-3,2041-01-01T00:00:00Z,2050-12-01T00:00:00Z,991832376,crd-esgf-drc.ec.gc.ca,http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgD_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp370/r10i1p1f1/Omon/chl/gn/v20190429/chl_Omon_CanESM5_ssp370_r10i1p1f1_gn_204101-205012.nc,hdl:21.14100/7f810c81-cd92-3f48-89f2-80f7e90d2b1b,hdl:21.14100/92002263-b898-4682-ab7c-29db14a5a421
